x,y,u
0.203125,0.03125,5.232772848770628e-06
0.21875,0.03125,5.670572358996966e-06
0.234375,0.03125,6.109764482640161e-06
0.25,0.03125,6.548913874690763e-06
0.265625,0.03125,6.986370086379779e-06
0.28125,0.03125,7.420265780096126e-06
0.296875,0.03125,7.848520409756014e-06
0.3125,0.03125,8.268850222107287e-06
0.328125,0.03125,8.678785314060984e-06
0.34375,0.03125,9.07569428070262e-06
0.359375,0.03125,9.456816703237677e-06
0.375,0.03125,9.81930335840285e-06
0.390625,0.03125,1.0160263593144197e-05
0.40625,0.03125,1.0476818823995376e-05
0.421875,0.03125,1.0766160624045214e-05
0.4375,0.03125,1.10256113954484e-05
0.453125,0.03125,1.1252685241381883e-05
0.46875,0.03125,1.1445146397192622e-05
0.484375,0.03125,1.1601062497915773e-05
0.5,0.03125,1.1718850075522884e-05
0.515625,0.03125,1.179731000084396e-05
0.53125,0.03125,1.183565109499498e-05
0.546875,0.03125,1.1833500792959698e-05
0.5625,0.03125,1.179090248858644e-05
0.578125,0.03125,1.1708299955665179e-05
0.59375,0.03125,1.1586509952883534e-05
0.609375,0.03125,1.142668471898684e-05
0.625,0.03125,1.1230266502668958e-05
0.640625,0.03125,1.0998936525147809e-05
0.65625,0.03125,1.0734560839734438e-05
0.671875,0.03125,1.0439135449289598e-05
0.6875,0.03125,1.0114732801161426e-05
0.703125,0.03125,9.76345144027139e-06
0.71875,0.03125,9.387370206939762e-06
0.734375,0.03125,8.988507956351282e-06
0.75,0.03125,8.56878938422965e-06
0.765625,0.03125,8.130017192787206e-06
0.78125,0.03125,7.673850537875257e-06
0.796875,0.03125,7.201789469780645e-06
0.8125,0.03125,6.7151649167875576e-06
0.828125,0.03125,6.215133657881519e-06
0.84375,0.03125,5.702677680926727e-06
0.859375,0.03125,5.1786073156135485e-06
0.875,0.03125,4.643567556125671e-06
0.890625,0.03125,4.098047036564201e-06
0.90625,0.03125,3.542389182678858e-06
0.921875,0.03125,2.9768051260648423e-06
0.9375,0.03125,2.401388019359462e-06
0.953125,0.03125,1.8161284155743158e-06
0.96875,0.03125,1.2209303460795235e-06
0.984375,0.03125,6.156276355121691e-07
1.0,0.03125,0.0
0.0,0.046875,0.0
0.015625,0.046875,5.550487862195726e-07
0.03125,0.046875,1.1196524794451272e-06
0.046875,0.046875,1.6940011371686665e-06
0.0625,0.046875,2.2782509596766476e-06
0.078125,0.046875,2.872501711446514e-06
0.09375,0.046875,3.4767729958254364e-06
0.109375,0.046875,4.090979575696624e-06
0.125,0.046875,4.714905826115277e-06
0.140625,0.046875,5.348179455423239e-06
0.15625,0.046875,5.990244738596658e-06
0.171875,0.046875,6.64033563930897e-06
0.1875,0.046875,7.2974493469064615e-06
0.203125,0.046875,7.960320917445917e-06
0.21875,0.046875,8.627399879327605e-06
0.234375,0.046875,9.296829836166387e-06
0.25,0.046875,9.966432261114588e-06
0.265625,0.046875,1.0633695812863436e-05
0.28125,0.046875,1.1295772595433014e-05
0.296875,0.046875,1.1949482810217476e-05
0.3125,0.046875,1.2591329186781924e-05
0.328125,0.046875,1.3217522406645729e-05
0.34375,0.046875,1.3824018433694324e-05
0.359375,0.046875,1.4406568225621131e-05
0.375,0.046875,1.4960779724464842e-05
0.390625,0.046875,1.548219132816859e-05
0.40625,0.046875,1.596635526491908e-05
0.421875,0.046875,1.6408928482696167e-05
0.4375,0.046875,1.680576789950897e-05
0.453125,0.046875,1.715302621735757e-05
0.46875,0.046875,1.7447244068213655e-05
0.484375,0.046875,1.7685434105340244e-05
0.5,0.046875,1.7865152826312548e-05
0.515625,0.046875,1.7984556428775813e-05
0.53125,0.046875,1.80424378291209e-05
0.546875,0.046875,1.803824305042283e-05
0.5625,0.046875,1.7972066409167604e-05
0.578125,0.046875,1.7844625181808538e-05
0.59375,0.046875,1.765721559198872e-05
0.609375,0.046875,1.7411652923080392e-05
0.625,0.046875,1.711019925366322e-05
0.640625,0.046875,1.675548269786147e-05
0.65625,0.046875,1.635041210816823e-05
0.671875,0.046875,1.5898090998357615e-05
0.6875,0.046875,1.5401734024719364e-05
0.703125,0.046875,1.4864588794100266e-05
0.71875,0.046875,1.428986511809053e-05
0.734375,0.046875,1.3680673168677269e-05
0.75,0.046875,1.3039971364216816e-05
0.765625,0.046875,1.237052426324696e-05
0.78125,0.046875,1.167487029004869e-05
